DATE,UNRATE,Gas
5/1/2009,9.4,59.0285
6/1/2009,9.5,69.64090909
7/1/2009,9.5,64.15227273
8/1/2009,9.6,71.0447619
9/1/2009,9.8,69.40809524
10/1/2009,10,75.71545455
11/1/2009,9.9,77.99
12/1/2009,9.9,74.47
1/1/2010,9.8,78.32578947
2/1/2010,9.8,76.38736842
3/1/2010,9.9,81.20347826
4/1/2010,9.9,84.29285714
5/1/2010,9.6,73.7435
6/1/2010,9.4,75.33590909
7/1/2010,9.4,76.31952381
8/1/2010,9.5,76.59909091
9/1/2010,9.5,75.24190476
10/1/2010,9.4,81.89285714
11/1/2010,9.8,84.25285714
12/1/2010,9.3,89.14590909
1/1/2011,9.1,89.1705
2/1/2011,9,88.57842105
3/1/2011,9,102.8565217
4/1/2011,9.1,109.5325
5/1/2011,9,100.9004762
6/1/2011,9.1,96.26409091
7/1/2011,9,97.3035
8/1/2011,9,86.33304348
9/1/2011,9,85.5152381
10/1/2011,8.8,86.32238095
11/1/2011,8.6,97.16047619
12/1/2011,8.5,98.56285714
1/1/2012,8.3,100.2735
2/1/2012,8.3,102.204
3/1/2012,8.2,106.1577273
4/1/2012,8.2,103.321
5/1/2012,8.2,94.65454545
6/1/2012,8.2,82.30333333
7/1/2012,8.2,87.8952381
8/1/2012,8.1,94.13130435
9/1/2012,7.8,94.51368421
10/1/2012,7.8,89.49130435
11/1/2012,7.7,86.53142857
12/1/2012,7.9,87.8595
1/1/2013,8,94.75666667
2/1/2013,7.7,95.30894737
3/1/2013,7.5,92.9385
4/1/2013,7.6,92.02136364
5/1/2013,7.5,94.50954545
6/1/2013,7.5,95.7725
7/1/2013,7.3,104.6709091
8/1/2013,7.2,106.5727273
9/1/2013,7.2,106.2895
10/1/2013,7.2,100.5382609
11/1/2013,6.9,93.864
12/1/2013,6.7,97.6252381
1/1/2014,6.6,94.61714286
2/1/2014,6.7,100.8173684
3/1/2014,6.7,100.8038095
4/1/2014,6.2,102.0690476
5/1/2014,6.3,102.1771429
6/1/2014,6.1,105.7942857
7/1/2014,6.2,103.5886364
8/1/2014,6.1,96.53619048
9/1/2014,5.9,93.21190476
10/1/2014,5.7,84.39695652
11/1/2014,5.8,75.78947368
12/1/2014,5.6,59.29045455
1/1/2015,5.7,47.219
2/1/2015,5.5,50.58421053
3/1/2015,5.4,47.82363636
4/1/2015,5.4,54.45285714
5/1/2015,5.6,59.265
6/1/2015,5.3,59.81954545
7/1/2015,5.2,50.90090909
8/1/2015,5.1,42.86761905
9/1/2015,5,45.47952381
10/1/2015,5,46.22363636
11/1/2015,5.1,42.4435
12/1/2015,5,37.18863636
1/1/2016,4.8,31.68315789
2/1/2016,4.9,30.323
3/1/2016,5,37.54636364
4/1/2016,5.1,40.7552381
5/1/2016,4.8,46.71238095
6/1/2016,4.9,48.75727273
7/1/2016,4.8,44.6515
8/1/2016,4.9,44.72434783
9/1/2016,5,45.18238095
10/1/2016,4.9,49.7752381
11/1/2016,4.7,45.66095238
12/1/2016,4.7,51.97047619
1/1/2017,4.7,52.504
2/1/2017,4.6,53.46842105
3/1/2017,4.4,49.32782609
4/1/2017,4.4,51.06052632
5/1/2017,4.4,48.47636364
6/1/2017,4.3,45.17772727
7/1/2017,4.3,46.63052632
8/1/2017,4.4,48.03695652
9/1/2017,4.3,49.822
10/1/2017,4.2,51.57772727
11/1/2017,4.2,56.63857143
12/1/2017,4.1,57.8815
1/1/2018,4,63.69857143
2/1/2018,4.1,62.22947368
3/1/2018,4,62.7247619
4/1/2018,4,66.25380952
5/1/2018,3.8,69.97818182
6/1/2018,4,67.87333333
7/1/2018,3.8,70.98142857
8/1/2018,3.8,68.05565217
9/1/2018,3.7,70.23210526
10/1/2018,3.8,70.74869565
11/1/2018,3.8,56.9635
12/1/2018,3.9,49.52277778
1/1/2019,4,51.37571429
2/1/2019,3.8,54.95473684
3/1/2019,3.8,58.15142857
4/1/2019,3.6,63.86238095
5/1/2019,3.6,60.82681818
6/1/2019,3.6,54.6575
7/1/2019,3.7,57.35809524
8/1/2019,3.7,54.80590909
9/1/2019,3.5,56.947
10/1/2019,3.6,53.96304348
11/1/2019,3.6,57.04894737
12/1/2019,3.6,59.81666667
1/1/2020,3.5,57.51904762
2/1/2020,3.5,50.54263158
3/1/2020,4.4,29.20772727
4/1/2020,14.7,16.54761905
5/1/2020,13.2,28.5625
6/1/2020,11,38.30727273
7/1/2020,10.2,40.71045455
8/1/2020,8.4,42.33904762
9/1/2020,7.9,39.63428571
10/1/2020,6.9,39.39590909
11/1/2020,6.7,40.93736842
12/1/2020,6.7,47.025
1/1/2021,6.4,52.00842105
2/1/2021,6.2,59.04631579
3/1/2021,6,62.33304348
4/1/2021,6,61.71666667
5/1/2021,5.8,65.1695
6/1/2021,5.9,71.37818182
7/1/2021,5.4,72.4852381
8/1/2021,5.2,67.73045455
9/1/2021,4.7,71.64619048
10/1/2021,4.6,81.47666667
11/1/2021,4.2,79.1475
12/1/2021,3.9,71.71181818
1/1/2022,4,83.222
2/1/2022,3.8,91.64105263
3/1/2022,3.6,108.5026087
